strain	date
B001_5	2014-04-25
B100_5	2014-10-10
B101_1	2014-10-10
B108_3	2014-10-30
B109_1	2014-11-09
B118_2	2014-12-05
B119_1	2014-12-05
B119_2	2014-12-05
B12_1	2014-05-17
B141_2	2015-01-23
B143_4	2015-01-22
B145_4	2015-01-24
B147_1	2015-01-26
B169_1	2015-02-11
B188_1	2015-03-28
B196_1	2015-04-08
B200_2	2015-04-11
B200_MG15_isolate	2015-04-11
B201_3	2015-04-14
B201_5	2015-04-14
B202_1	2015-04-20
B202_2	2015-04-20
B207_2	2015-05-04
B215_5	2015-05-15
B225_3	2015-05-21
B226_1	2015-05-21
B228_2	2015-05-22
B231_1	2015-05-27
B231_2	2015-05-27
B234_1	2015-05-28
B235_3	2015-06-01
B244_3	2015-06-13
B246_1	2015-06-17
B24_1	2014-06-02
B252_1	2015-06-20
B255_1	2015-06-25
B262_1	2015-07-03
B270_2	2015-07-04
B274_2	2015-07-07
B280_4	2015-07-11
B295_2	2015-08-05
B309_1	2015-08-28
B311_2	2015-09-02
B312_4	2015-09-05
B313_5	2015-09-06
B323_2	2015-09-17
B327_1	2015-09-28
B329_2	2015-10-02
B36_1	2014-06-18
B37_1	2014-06-18
B37_2	2014-06-18
B37_3	2014-06-18
B42_1	2014-06-27
B42_3	2014-06-27
B45_2	2014-07-03
B46_1	2014-06-24
B62_5	2014-08-02
B66_1	2014-08-14
B66_4	2014-08-14
B68_1	2014-08-25
B69_1	2014-08-29
B75_4	2014-09-24
B75_5	2014-09-24
B84_2	2014-09-30
B84_3	2014-09-30
B88_3	2014-10-01
B89_1	2014-10-03
B95_1	2014-10-08
B99_5	2014-10-10
C101_1	2015-08-22
C102_1	2015-08-22
C110_5	2015-09-16
C13_2	2015-01-14
C14_2A	2015-01-15
C14_2B	2015-01-15
C21_2	2015-03-02
C21_4	2015-03-02
C23_1	2015-03-02
C25_2	2015-03-02
C26_2	2015-03-02
C32_3	2015-04-14
C33_3	2015-04-20
C34_2	2015-05-05
C36_1	2015-05-04
C38_1	2015-05-04
C46_4	2015-06-06
C46_isolate	2015-06-06
C50_4	2015-06-11
C70_1	2015-06-27
C71_2	2015-06-27
C79_1	2015-07-18
C80_4	2015-07-28
C85_1	2015-08-01
C86_4	2015-08-02
C87_3	2015-08-02
C9_2	2015-01-14
E100_4	2014-06-17
E100_5	2014-06-17
E101_1	2014-06-17
E106_1	2014-06-17
E119_5	2014-06-20
E124_5	2014-06-20
E124_6	2014-06-20
E129_3	2014-06-23
E13	2014-04-28
E130_1	2014-06-24
E132_5	2014-06-24
E135_2	2014-06-24
E135_5	2014-06-24
E135_6	2014-06-24
E139_2	2014-06-27
E140	2014-06-27
E143_1	2014-07-01
E144	2014-07-01
E14_6	2014-04-28
E158	2014-07-10
E162	2014-07-14
E166	2014-07-15
E167_5	2014-07-16
E16_6	2014-04-29
E170	2014-07-16
E173	2014-07-17
E175_4	2014-07-18
E175_5	2014-07-18
E177_6	2014-07-18
E179_6	2014-07-21
E184_3	2014-07-21
E187_2	2014-07-22
E188_2	2014-07-22
E192	2014-07-23
E195_3	2014-07-24
E195_5	2014-07-24
E197_5	2014-07-30
E205	2014-07-31
E20_1	2014-05-01
E212_4	2014-08-08
E215_4	2014-08-13
E218	2014-08-13
E21_3	2014-04-30
E228_3	2014-08-19
E230_4	2014-08-22
E236_4	2014-08-29
E238_3	2014-09-04
E238_5	2014-09-04
E240_5	2014-09-05
E26	2014-05-09
E27	2014-05-14
E28	2014-05-14
E29_1	2014-05-15
E33_4	2014-05-16
E34	2014-05-16
E34L_M	2014-05-16
E43	2014-05-28
E44_6	2014-05-28
E55_5	2014-06-02
E55_6	2014-06-02
E57	2014-06-02
E58_3	2014-06-02
E5_5	2014-04-22
E61_3	2014-06-03
E67_5	2014-06-04
E70_3	2014-06-05
E71	2014-06-09
E71_6	2014-06-09
E72	2014-06-05
E72_3	2014-06-05
E76_1	2014-06-10
E84	2014-06-11
E88_3	2014-06-16
E88_4	2014-06-16
E89_4	2014-06-17
E92_5	2014-06-13
E99_3	2014-06-17
Q106	2014-09-04
Q108	2014-09-08
Q128	2014-09-08
Q132	2014-09-03
Q142	2014-09-03
Q145	2014-09-04
Q147	2014-09-03
Q16_1	2014-05-09
Q186	2014-09-10
Q196	2014-09-11
Q199	2014-09-12
Q212	2014-09-11
Q21_2	2014-05-11
Q223	2014-09-15
Q233	2014-09-16
Q23_1	2014-05-11
Q240	2014-09-17
Q243	2014-09-16
Q245_2	2014-09-18
Q249	2014-09-18
Q250_1	2014-09-17
Q253	2014-09-18
Q270	2014-09-18
Q275	2014-09-19
Q279_1	2014-09-18
Q27_1	2014-05-15
Q282	2014-09-19
Q284	2014-09-19
Q288	2014-09-19
Q289	2014-09-19
Q294	2014-09-22
Q295	2014-09-22
Q300	2014-09-23
Q307_1	2014-09-23
Q308	2014-09-23
Q310	2014-09-23
Q312_1	2014-09-24
Q312_reads_u803	2014-09-24
Q31_6	2014-05-18
Q33_6	2014-05-18
Q34_6	2014-05-19
Q35_1	2014-05-19
Q37_4	2014-05-19
Q38_1	2014-05-19
Q40	2014-08-06
Q49	2014-08-26
Q51	2014-08-26
Q51_MG_31_isolate	2014-08-26
Q53	2014-08-26
Q56	2014-08-27
Q65	2014-08-28
Q71_1	2014-09-01
Q85_1	2014-09-02
Q86	2014-09-02
Q87	2014-09-02
Q89	2014-09-02
Q91	2014-09-02
R104_2	2015-08-22
R109_1	2015-08-22
R110_5	2015-08-22
R113_1	2015-08-22
R113_3	2015-08-22
R116_2	2015-08-22
R119_3	2015-08-22
R122_4	2015-08-22
R127_3	2015-09-26
R12_1	2014-10-15
R137_1	2015-09-27
R138_1	2015-09-27
R17_2	2014-10-15
R36_1	2014-11-12
R42_2	2014-12-13
R43_2	2014-12-13
R46_3	2014-12-15
R55_1	2015-02-22
R56_3	2015-02-22
R58_1	2015-02-22
R60_2	2015-04-21
R66_4	2015-04-22
R67_3	2015-04-22
R83_3	2015-06-23
R84_2	2015-06-23
R85_2	2015-06-23
R86_1	2015-06-23
R8_4	2014-10-15
R92_5	2015-07-26
