strain	sample_id	site_id	gradient	date	PCR	genome	virus
B001_5	B0001	Rural_villages	rural	2014-04-25	DAEC	DAEC	ecoli
B100_5	B0100	Borbon	rural	2014-10-10	DAEC	DAEC	ecoli
B101_1	B0101	Borbon	rural	2014-10-10	DAEC	DAEC	ecoli
B108_3	B0108	Borbon	rural	2014-10-30	NA	NA	ecoli
B109_1	B0109	Borbon	rural	2014-11-09	ETEC	EAEC/ETEC	ecoli
B118_2	B0118	Rural_villages	rural	2014-12-05	DAEC	DAEC	ecoli
B119_1	B0119	Borbon	rural	2014-12-05	EAEC	EAEC	ecoli
B119_2	B0119	Borbon	rural	2014-12-05	NA	NA	ecoli
B12_1	B0012	Borbon	rural	2014-05-17	DAEC	DAEC	ecoli
B141_2	B0141	Borbon	rural	2015-01-23	EAEC	EAEC	ecoli
B143_4	B0143	Borbon	rural	2015-01-22	EIEC	EIEC	ecoli
B145_4	B0145	Borbon	rural	2015-01-24	EAEC	EAEC	ecoli
B147_1	B0147	Borbon	rural	2015-01-26	DAEC	DAEC	ecoli
B169_1	B0169	Rural_villages	rural	2015-02-11	EAEC	EAEC	ecoli
B188_1	B0188	Borbon	rural	2015-03-28	EAEC	EAEC	ecoli
B196_1	B0196	Borbon	rural	2015-04-08	NA	NA	ecoli
B200_2	B0200	Borbon	rural	2015-04-11	ETEC	ETEC	ecoli
B200_MG15_isolate	B0200	Borbon	rural	2015-04-11	NA	NA	ecoli
B201_3	B0201	Rural_villages	rural	2015-04-14	EAEC	EAEC	ecoli
B201_5	B0201	Rural_villages	rural	2015-04-14	EAEC	EAEC	ecoli
B202_1	B0202	Rural_villages	rural	2015-04-20	NA	NA	ecoli
B202_2	B0202	Rural_villages	rural	2015-04-20	EAEC	EAEC	ecoli
B207_2	B0207	Borbon	rural	2015-05-04	DAEC	DAEC	ecoli
B215_5	B0215	Borbon	rural	2015-05-15	EAEC	EAEC	ecoli
B225_3	B0225	Borbon	rural	2015-05-21	aEPEC	aEPEC	ecoli
B226_1	B0226	Borbon	rural	2015-05-21	DAEC	DAEC	ecoli
B228_2	B0228	Borbon	rural	2015-05-22	NA	NA	ecoli
B231_1	B0231	Borbon	rural	2015-05-27	tEPEC	tEPEC	ecoli
B231_2	B0231	Borbon	rural	2015-05-27	aEPEC	aEPEC	ecoli
B234_1	B0234	Borbon	rural	2015-05-28	DAEC	DAEC/EAEC	ecoli
B235_3	B0235	Rural_villages	rural	2015-06-01	tEPEC	tEPEC	ecoli
B244_3	B0244	Borbon	rural	2015-06-13	ETEC	ETEC	ecoli
B246_1	B0246	Borbon	rural	2015-06-17	aEPEC	aEPEC	ecoli
B24_1	B0024	Borbon	rural	2014-06-02	DAEC	DAEC	ecoli
B252_1	B0252	Borbon	rural	2015-06-20	NA	NA	ecoli
B255_1	B0255	Borbon	rural	2015-06-25	ETEC	ETEC	ecoli
B262_1	B0262	Borbon	rural	2015-07-03	EIEC	EIEC	ecoli
B270_2	B0270	Borbon	rural	2015-07-04	ETEC	ETEC	ecoli
B274_2	B0274	Borbon	rural	2015-07-07	DAEC	DAEC	ecoli
B280_4	B0280	Borbon	rural	2015-07-11	EAEC	EAEC	ecoli
B295_2	B0295	Borbon	rural	2015-08-05	ETEC	ETEC	ecoli
B309_1	B0309	Borbon	rural	2015-08-28	EIEC	EIEC	ecoli
B311_2	B0311	Borbon	rural	2015-09-02	NA	NA	ecoli
B312_4	B0312	Borbon	rural	2015-09-05	aEPEC	aEPEC	ecoli
B313_5	B0313	Borbon	rural	2015-09-06	NA	NA	ecoli
B323_2	B0323	Borbon	rural	2015-09-17	NA	NA	ecoli
B327_1	B0327	Borbon	rural	2015-09-28	NA	NA	ecoli
B329_2	B0329	Borbon	rural	2015-10-02	DAEC	DAEC	ecoli
B36_1	B0036	Borbon	rural	2014-06-18	NA	NA	ecoli
B37_1	B0037	Borbon	rural	2014-06-18	NA	NA	ecoli
B37_2	B0037	Borbon	rural	2014-06-18	NA	NA	ecoli
B37_3	B0037	Borbon	rural	2014-06-18	NA	NA	ecoli
B42_1	B0042	Borbon	rural	2014-06-27	NA	NA	ecoli
B42_3	B0042	Borbon	rural	2014-06-27	NA	NA	ecoli
B45_2	B0045	Rural_villages	rural	2014-07-03	ETEC	ETEC	ecoli
B46_1	B0046	Rural_villages	rural	2014-06-24	ETEC	ETEC	ecoli
B62_5	B0062	Borbon	rural	2014-08-02	ETEC	ETEC	ecoli
B66_1	B0066	Rural_villages	rural	2014-08-14	EAEC	EAEC	ecoli
B66_4	B0066	Rural_villages	rural	2014-08-14	ETEC	EAEC	ecoli
B68_1	B0068	Rural_villages	rural	2014-08-25	ETEC	ETEC	ecoli
B69_1	B0069	Borbon	rural	2014-08-29	NA	NA	ecoli
B75_4	B0075	Borbon	rural	2014-09-24	DAEC	DAEC	ecoli
B75_5	B0075	Borbon	rural	2014-09-24	DAEC	DAEC	ecoli
B84_2	B0084	Borbon	rural	2014-09-30	ETEC	EAEC/ETEC	ecoli
B84_3	B0084	Borbon	rural	2014-09-30	EIEC	EIEC	ecoli
B88_3	B0088	Borbon	rural	2014-10-01	EIEC	EIEC	ecoli
B89_1	B0089	Borbon	rural	2014-10-03	DAEC	DAEC	ecoli
B95_1	B0095	Rural_villages	rural	2014-10-08	DAEC	DAEC	ecoli
B99_5	B0099	Borbon	rural	2014-10-10	aEPEC	aEPEC	ecoli
C101_1	C0101	Casas	rural	2015-08-22	ETEC	EAEC/ETEC	ecoli
C102_1	C0102	Casas	rural	2015-08-22	aEPEC	aEPEC	ecoli
C110_5	C0110	Casas	rural	2015-09-16	aEPEC	aEPEC	ecoli
C13_2	C0013	Casas	rural	2015-01-14	NA	NA	ecoli
C14_2A	C0014	Casas	rural	2015-01-15	DAEC	DAEC	ecoli
C14_2B	C0014	Casas	rural	2015-01-15	DAEC	DAEC	ecoli
C21_2	C0021	Casas	rural	2015-03-02	EAEC	EAEC	ecoli
C21_4	C0021	Casas	rural	2015-03-02	NA	NA	ecoli
C23_1	C0023	Casas	rural	2015-03-02	EAEC	EAEC	ecoli
C25_2	C0025	Casas	rural	2015-03-02	EIEC	EIEC	ecoli
C26_2	C0026	Casas	rural	2015-03-02	aEPEC	aEPEC	ecoli
C32_3	C0032	Casas	rural	2015-04-14	NA	NA	ecoli
C33_3	C0033	Casas	rural	2015-04-20	EAEC	EAEC	ecoli
C34_2	C0034	Casas	rural	2015-05-05	NA	NA	ecoli
C36_1	C0036	Casas	rural	2015-05-04	DAEC	DAEC	ecoli
C38_1	C0038	Casas	rural	2015-05-04	NA	NA	ecoli
C46_4	C0046	Casas	rural	2015-06-06	ETEC	ETEC	ecoli
C46_isolate	C0046	Casas	rural	2015-06-06	NA	NA	ecoli
C50_4	C0050	Casas	rural	2015-06-11	DAEC	DAEC	ecoli
C70_1	C0070	Casas	rural	2015-06-27	aEPEC	aEPEC	ecoli
C71_2	C0071	Casas	rural	2015-06-27	DAEC	DAEC	ecoli
C79_1	C0079	Casas	rural	2015-07-18	DAEC	DAEC	ecoli
C80_4	C0080	Casas	rural	2015-07-28	EAEC	EAEC	ecoli
C85_1	C0085	Casas	rural	2015-08-01	NA	NA	ecoli
C86_4	C0086	Casas	rural	2015-08-02	NA	NA	ecoli
C87_3	C0087	Casas	rural	2015-08-02	NA	NA	ecoli
C9_2	C0009	Casas	rural	2015-01-14	aEPEC	aEPEC	ecoli
E100_4	E0100	Esmeraldas	urban	2014-06-17	DAEC	DAEC	ecoli
E100_5	E0100	Esmeraldas	urban	2014-06-17	DAEC	DAEC	ecoli
E101_1	E0101	Esmeraldas	urban	2014-06-17	DAEC	DAEC	ecoli
E106_1	E0106	Esmeraldas	urban	2014-06-17	EAEC	EAEC	ecoli
E119_5	E0119	Esmeraldas	urban	2014-06-20	DAEC	DAEC	ecoli
E124_5	E0124	Esmeraldas	urban	2014-06-20	EAEC	EAEC	ecoli
E124_6	E0124	Esmeraldas	urban	2014-06-20	DAEC	DAEC	ecoli
E129_3	E0129	Esmeraldas	urban	2014-06-23	aEPEC	aEPEC	ecoli
E13	E0013	Esmeraldas	urban	2014-04-28	DAEC	DAEC	ecoli
E130_1	E0130	Esmeraldas	urban	2014-06-24	NA	NA	ecoli
